"twt_id","srvy_tp","subm_dt","both","new","newboth","st_ct","hhs","ppl","wp_prblm_taste_rcd","wp_prblm_smell_rcd","wp_prblm_color_rcd","wp_prblm_cloudy_rcd","ho_diar_rcd","ho_typh_rcd","ho_malr_rcd","ho_dysn_rcd","ho_resp_rcd","ho_skin_rcd","ho_eyin_rcd","ho_wrms_rcd","ho_othr_1_rcd","ho_othr_2_rcd","ho_dk_rcd","ft_lt_30M","ft_30_60M","ft_gt_120M","ft_gt_60M","ft_gt_180M","ftch_tm_NA","sf_NoBush","sf_ImpLatr","sf_Pit","sf_Latr","sf_NoNghbr","san_fac_NA","wp_prblm_taste_rcd_na","wp_prblm_smell_rcd_na","wp_prblm_color_rcd_na","wp_prblm_cloudy_rcd_na","ho_diar_rcd_na","ho_typh_rcd_na","ho_malr_rcd_na","ho_dysn_rcd_na","ho_resp_rcd_na","ho_skin_rcd_na","ho_eyin_rcd_na","ho_wrms_rcd_na","ho_othr_1_rcd_na","ho_othr_2_rcd_na","ho_dk_rcd_na","fnct_wp","fnct_wp_na","fnct_wp_tt","strd_fees_sum","strd_fees_none","fnct_wq","fnct_wq_na","fnct_wq_tt","tst_rslt_elec_amt","tst_rslt_elec_amt_na","tst_rslt_elec_amt_tt","tst_rslt_temp_amt","tst_rslt_temp_amt_na","tst_rslt_temp_amt_tt","tst_rslt_trbd_amt","tst_rslt_trbd_amt_na","tst_rslt_trbd_amt_tt","tst_rslt_nitrite_amt","tst_rslt_nitrite_amt_na","tst_rslt_nitrite_amt_tt","tst_rslt_nitrate_amt","tst_rslt_nitrate_amt_na","tst_rslt_nitrate_amt_tt","tst_rslt_fl_amt","tst_rslt_fl_amt_na","tst_rslt_fl_amt_tt","tst_rslt_arsnc_amt","tst_rslt_arsnc_amt_na","tst_rslt_arsnc_amt_tt","tst_rslt_ecoli_amt","tst_rslt_ecoli_amt_na","tst_rslt_ecoli_amt_tt","tst_rslt_fcoli_amt","tst_rslt_fcoli_amt_na","tst_rslt_fcoli_amt_tt","ecoli_risk_l","ecoli_risk_i","ecoli_risk_h","ecoli_risk_v"
"826884","m",2016-10-03,"0","0","00",1,41,313,0,0,21,1,5,0,37,0,3,0,0,5,0,0,3,34,7,0,0,0,0,1,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,38,4,0,4,2e+05,0,2,0,2,130,0,2,49.9,0,2,0,0,2,NA,2,0,NA,2,0,NA,2,0,NA,2,0,0,1,1,0,1,1,1,0,0,0
"826949","b",2012-04-26,"1","0","01",1,41,232,34,0,0,0,2,0,14,0,0,2,0,0,0,0,0,9,32,0,0,0,0,4,6,31,0,0,0,7,7,7,7,25,25,25,25,25,25,25,25,25,41,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826949","m",2016-12-02,"1","0","01",1,28,172,0,0,0,0,0,0,19,0,12,2,1,1,0,0,0,11,17,0,0,0,0,0,1,5,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,1.5,0,2,210000,0,3,0,3,60,2,1,49.4,1,2,0,0,3,NA,3,0,NA,3,0,NA,3,0,NA,3,0,5,1,2,94,2,1,0,1,0,0
"826956","b",2012-04-05,"1","0","01",1,63,355,0,0,26,0,15,0,37,0,0,12,0,0,0,0,0,19,20,1,23,0,0,20,8,35,0,0,0,37,37,37,37,20,20,20,20,20,20,20,20,20,63,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826956","m",2015-10-21,"1","0","01",1,11,55,0,0,0,0,0,2,4,0,0,1,2,4,3,0,0,6,5,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,1.5,0,2,130000,0,3,0,4,332.7,0,4,50.8,2,2,0,0,4,NA,4,0,NA,4,0,NA,4,0,NA,4,0,24,1,3,70,3,1,0,0,1,0
"826963","b",2012-06-13,"1","0","01",1,58,290,6,0,52,0,18,0,19,0,0,7,0,0,0,0,0,12,36,0,10,0,0,14,9,35,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,58,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826963","m",2015-09-26,"1","0","01",1,19,89,0,0,0,0,2,3,9,0,10,4,1,2,2,0,0,1,18,0,0,0,0,0,0,1,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,1,0,1,2e+05,0,3,0,3,320,0,3,79.2,0,3,0,0,3,NA,3,0,NA,3,0,NA,3,0,NA,3,0,0,1,2,5,2,1,1,0,0,0
"826970","b",2012-07-31,"1","0","01",1,43,280,0,0,43,0,13,0,0,0,0,16,0,0,0,0,0,0,21,0,22,0,0,4,5,34,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826970","m",2015-10-08,"1","0","01",1,16,86,0,0,0,0,1,2,11,0,2,6,0,6,1,0,0,7,9,0,0,0,0,0,0,6,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,1,0,2,1e+05,0,3,0,3,200.2,2,1,27.3,2,1,0,0,3,NA,3,0,NA,3,0,NA,3,0,NA,3,0,0,1,2,17,2,1,1,0,0,0
"826987","b",2012-04-04,"1","0","01",1,66,317,0,0,31,0,14,0,0,0,0,7,0,0,0,0,0,23,27,0,16,0,0,17,10,39,0,0,0,35,35,35,35,46,46,46,46,46,46,46,46,46,66,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
