"twt_id","srvy_tp","subm_dt","both","new","newboth","st_ct","hhs","ppl","wp_prblm_taste_rcd","wp_prblm_smell_rcd","wp_prblm_color_rcd","wp_prblm_cloudy_rcd","ho_diar_rcd","ho_typh_rcd","ho_malr_rcd","ho_dysn_rcd","ho_resp_rcd","ho_skin_rcd","ho_eyin_rcd","ho_wrms_rcd","ho_dk_rcd","ft_lt_30M","ft_30_60M","ft_gt_120M","ft_gt_60M","ft_gt_180M","ftch_tm_NA","sf_NoBush","sf_ImpLatr","sf_Pit","sf_Latr","sf_.NoNghbr","func_wp","func_wq","strd_fees","ecoli_risk_l","ecoli_risk_i","ecoli_risk_h","ecoli_risk_v"
825948,"m","2016-11-17",0,0,"00",1,21,102,0.380952380952381,0.19047619047619,0.333333333333333,0.0952380952380952,0.142857142857143,0.285714285714286,0.857142857142857,0,0.0476190476190476,0.19047619047619,0.19047619047619,0.238095238095238,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0.0952380952380952,0.238095238095238,0.619047619047619,0.0476190476190476,0.666666666666667,1,2e+05,0,0,1,0
825955,"m","2016-11-28",0,0,"00",1,26,134,0,0,0,0,0.0384615384615385,0.115384615384615,0.538461538461538,0,0.307692307692308,0.0769230769230769,0.0769230769230769,0.192307692307692,0.115384615384615,0.730769230769231,0.269230769230769,0,0,0,0,0,0.0769230769230769,0.115384615384615,0.692307692307692,0.115384615384615,0.833333333333333,1,113000,0,0,0,1
825962,"m","2016-08-05",0,0,"00",1,19,158,0,0,0,0,0.0526315789473684,0.105263157894737,0.526315789473684,0,0.368421052631579,0.105263157894737,0,0.105263157894737,0,0.421052631578947,0.526315789473684,0,0.0526315789473684,0,0,0,0.210526315789474,0.105263157894737,0.631578947368421,0.0526315789473684,1,1,46000,0,1,0,0
825979,"m","2016-12-05",0,0,"00",1,26,135,0.115384615384615,0.192307692307692,0.192307692307692,0.153846153846154,0,0.0384615384615385,0.653846153846154,0,0.153846153846154,0.230769230769231,0.0384615384615385,0,0.115384615384615,0.576923076923077,0.153846153846154,0.0769230769230769,0.192307692307692,0,0,0,0,0,0.961538461538462,0,0.666666666666667,1,2e+05,0,1,0,0
825986,"b","2008-03-11",1,0,"01",1,51,259,0,0.0392156862745098,0.490196078431373,0,0,0,0.0196078431372549,0,0,0,0,0,0,0.411764705882353,0.235294117647059,0.117647058823529,0.235294117647059,0,0,0.686274509803922,0.0196078431372549,0.294117647058824,0,0,0,0,0,0,0,0,0
825986,"m","2015-11-26",1,0,"01",1,9,44,0,0,0,0,0,0.222222222222222,0.333333333333333,0,0.666666666666667,0.111111111111111,0.333333333333333,0.111111111111111,0,0.222222222222222,0.777777777777778,0,0,0,0,0,0.111111111111111,0.444444444444444,0.333333333333333,0.111111111111111,0.833333333333333,0.666666666666667,1e+05,0,0,1,0
825993,"m","2016-03-14",0,0,"00",1,11,72,0,0,0,0,0,0,0.272727272727273,0,0.363636363636364,0,0,0,0.454545454545455,0.272727272727273,0.727272727272727,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0.727272727272727,0.0909090909090909,1,0.666666666666667,820000,1,0,0,0
826004,"m","2016-11-28",0,0,"00",1,22,123,0,0,0,0,0,0.136363636363636,0.409090909090909,0,0.454545454545455,0.181818181818182,0.136363636363636,0.0909090909090909,0,0.727272727272727,0.272727272727273,0,0,0,0,0,0.227272727272727,0.0454545454545455,0.727272727272727,0,0.666666666666667,1,185000,1,0,0,0
826011,"b","2009-10-02",1,0,"01",1,62,396,0.0161290322580645,0.129032258064516,0.806451612903226,0,0,0,0,0,0,0,0,0,0,0.0645161290322581,0.661290322580645,0,0.274193548387097,0,0,0.0806451612903226,0.258064516129032,0.661290322580645,0,0,0,0,0,0,0,0,0
826011,"m","2016-03-29",1,0,"01",1,5,23,0,0,0,0,0,0,0,0,0.8,0,0,0.2,0,1,0,0,0,0,0,0,0.2,0,0.6,0.2,1,1,0,1,0,0,0
